df compare,df ref,parameter,rel change,p-value,reject 0.05,reject 0.01,reject 0.001
GNEO2,GN,KaaNG,3.0,1.0,False,False,False
GNEO2,GN,KaaNG,0.25,0.16037194465464844,False,False,False
GNEO2,GN,KaaNG,2.0,0.999999966063489,False,False,False
GNEO2,GN,KaaNG,1.25,0.2292657279612148,False,False,False
GNEO2,GN,KaaNG,0.2,0.1804534565479407,False,False,False
GNEO2,GN,KaaNG,0.5,0.0029495043209961575,True,True,False
GNEO2,GN,KaaNG,1.0,0.015490147957013629,True,False,False
GNEO2,GN,KaaNG,4.0,1.0,False,False,False
GNEO2,GN,KaaNG,0.75,4.322736202060866e-05,True,True,True
GNEO2,GN,KNEG,3.0,0.015490147957013629,True,False,False
GNEO2,GN,KNEG,0.25,0.01548762820295231,True,False,False
GNEO2,GN,KNEG,2.0,0.01548510880073486,True,False,False
GNEO2,GN,KNEG,1.25,0.01548762820295231,True,False,False
GNEO2,GN,KNEG,0.2,0.01548762820295231,True,False,False
GNEO2,GN,KNEG,5.0,0.015497709330646736,True,False,False
GNEO2,GN,KNEG,0.5,0.01548762820295231,True,False,False
GNEO2,GN,KNEG,1.0,0.015490147957013629,True,False,False
GNEO2,GN,KNEG,4.0,0.015495188520822264,True,False,False
GNEO2,GN,KNEG,0.75,0.015490147957013629,True,False,False
GNEO2,GN,KmaOE,3.0,0.013431260376965595,True,False,False
GNEO2,GN,KmaOE,0.25,0.016285795996688068,True,False,False
GNEO2,GN,KmaOE,2.0,0.011408340564342444,True,False,False
GNEO2,GN,KmaOE,1.25,0.01332022076980289,True,False,False
GNEO2,GN,KmaOE,0.2,0.01743434927311629,True,False,False
GNEO2,GN,KmaOE,5.0,0.010529848238125682,True,False,False
GNEO2,GN,KmaOE,0.5,0.015779716052043556,True,False,False
GNEO2,GN,KmaOE,1.0,0.015490147957013629,True,False,False
GNEO2,GN,KmaOE,4.0,0.012791788792062954,True,False,False
GNEO2,GN,KmaOE,0.75,0.014866196084494188,True,False,False
GNEO2,GN,KEG,3.0,0.01548762820295231,True,False,False
GNEO2,GN,KEG,0.25,0.015591227074600703,True,False,False
GNEO2,GN,KEG,2.0,0.01548762820295231,True,False,False
GNEO2,GN,KEG,1.25,0.015490147957013629,True,False,False
GNEO2,GN,KEG,0.2,0.015800209823915574,True,False,False
GNEO2,GN,KEG,5.0,0.01548762820295231,True,False,False
GNEO2,GN,KEG,0.5,0.01550275200632891,True,False,False
GNEO2,GN,KEG,1.0,0.015490147957013629,True,False,False
GNEO2,GN,KEG,4.0,0.01548762820295231,True,False,False
GNEO2,GN,KEG,0.75,0.01548762820295231,True,False,False
GNEO2,GN,alphaEO,3.0,0.015913334061910363,True,False,False
GNEO2,GN,alphaEO,0.25,0.026321835380573547,True,False,False
GNEO2,GN,alphaEO,2.0,0.01713816409213765,True,False,False
GNEO2,GN,alphaEO,1.25,0.02507164361017404,True,False,False
GNEO2,GN,alphaEO,0.2,0.048886533552479634,True,False,False
GNEO2,GN,alphaEO,5.0,0.022699298606718918,True,False,False
GNEO2,GN,alphaEO,0.5,0.018868037269957408,True,False,False
GNEO2,GN,alphaEO,1.0,0.015490147957013629,True,False,False
GNEO2,GN,alphaEO,4.0,0.018008293531476052,True,False,False
GNEO2,GN,alphaEO,0.75,0.013496028848841718,True,False,False
GNEO2,GN,KmiEN,3.0,0.0124956535659106,True,False,False
GNEO2,GN,KmiEN,0.25,0.023288154437839357,True,False,False
GNEO2,GN,KmiEN,2.0,0.013056955715698572,True,False,False
GNEO2,GN,KmiEN,1.25,0.015292168370362803,True,False,False
GNEO2,GN,KmiEN,0.2,0.022678377806790613,True,False,False
GNEO2,GN,KmiEN,5.0,0.013375641067301672,True,False,False
GNEO2,GN,KmiEN,0.5,0.022092340623161448,True,False,False
GNEO2,GN,KmiEN,1.0,0.015490147957013629,True,False,False
GNEO2,GN,KmiEN,4.0,0.01283458557795673,True,False,False
GNEO2,GN,KmiEN,0.75,0.01952172123790346,True,False,False
GNEO2,GN,KmaON,3.0,0.022425140522322494,True,False,False
GNEO2,GN,KmaON,0.25,0.01433455131498129,True,False,False
GNEO2,GN,KmaON,2.0,0.01597015611394299,True,False,False
GNEO2,GN,KmaON,1.25,0.01486376378156164,True,False,False
GNEO2,GN,KmaON,0.2,0.012600727549511616,True,False,False
GNEO2,GN,KmaON,5.0,0.06262720062822408,False,False,False
GNEO2,GN,KmaON,0.5,0.017777378068397864,True,False,False
GNEO2,GN,KmaON,1.0,0.015490147957013629,True,False,False
GNEO2,GN,KmaON,4.0,0.045354347755290673,True,False,False
GNEO2,GN,KmaON,0.75,0.014713627811352574,True,False,False
GNEO2,GN,KOG,3.0,0.009208111237313597,True,True,False
GNEO2,GN,KOG,0.25,0.015437306957651848,True,False,False
GNEO2,GN,KOG,2.0,0.01253759177168808,True,False,False
GNEO2,GN,KOG,1.25,0.013924781110894657,True,False,False
GNEO2,GN,KOG,0.2,0.015434794584214618,True,False,False
GNEO2,GN,KOG,5.0,0.0005118703047369803,True,True,True
GNEO2,GN,KOG,0.5,0.015384620781454937,True,False,False
GNEO2,GN,KOG,1.0,0.015490147957013629,True,False,False
GNEO2,GN,KOG,4.0,0.003648431745107182,True,True,False
GNEO2,GN,KOG,0.75,0.015662318772925902,True,False,False
GNEO2,GN,KmiNG,1.0,0.015490147957013629,True,False,False
GNEO2,GN,KmiNG,0.75,2.6515917258057557e-46,True,True,True
GNEO2,GN,alphaGN,1.0,0.015490147957013629,True,False,False
